,Unnamed: 0,refs,trans,model_corrected
4112,32622,are there any in the south,are there any in the south,are there any in the south
4113,32626,thanks so much i am also looking for a museum i could visit,thanks so much i am also looking for a museum i could visit,thanks so much i am also looking for a museum i could visit
4114,32627,sure i can help you find one is there a certain part of town you were looking to visit,sure i can help you bind one is there a certain part of town you were looking to is visit,sure i can help you find one is there a certain part of town you were looking to visit
4115,32628,something in the north please,something in the north please,something in the north please
4116,32629,im sorry im not finding any matching attractions would you like to try a different area,im sorry im not finding any matching attractions would you like to try a different area,im sorry im not finding any matching attractions would you like to try a different area
4117,32630,wait im staying in the south that would make more sense how about a museum in the south,wait im staying in the south that would more sense how about a museum in the south,wait im staying in the south that would make more sense how about a museum inthe south
4118,32631,great theres the byard art museum there,great theres you the byard art museum there,great theres the byard art museum there
4119,32632,can i have the phone number postcode and address please,can y have the phone wont number postcode abscess please,can i have the phone number postcode address please
4120,32634,awesome that covers it all you were very helpful,awesome that covers it all you were very helpful,awesome that covers it all you were very helpful
4121,32635,youre welcome have a great day,welcome have a great,youre welcome have a great day
4122,32636,i would like a cheap restaurant in the east part of town please,i would like a cheap restaurant in the east part of please,i would like a cheap restaurant in the east part of town please
4123,32637,the only cheap restaurant in the east part of tow is the missing sock,only cheap restaurant in the east part have of tow is the missing while sock,the only cheap restaurant in the east part of town is the missing sock
4124,32638,address and phone number please,address and alone number please,address and phone number please
4125,32640,thank you good bye,you good bye,thank you good bye
4126,32641,thank you for calling goodbye,thank you for calling goodbye,thank you for calling goodbye
4127,32642,thanks so much bye bye,thanks so much bye bye,thanks so much bye bye
4128,32643,have a nice day,have a nice day,have a nice day
4129,32644,im looking for some place to go in the centre where i can enjoy multiple sports can you help me,im looking for some place to go in the centre where i can enjoy multiple aborts you help me,im looking for some place to go in the centre where i can enjoy multiple sports can you help me
4130,32645,there is the cherry hinton village centre,there is the cherry hinton village centre,there is the cherry hinton village centre
4131,32646,great can you also check for colleges,great ahn you also check for colleges,great can you also check for colleges
4132,32648,just one you think is nice please give me address entrance fee and number,just bun you think is nice please give me abscess entrance fee and number,just one you think is nice please give me address entrance fee and phone number
4133,32651,sure i can help you with that what day will you be leaving on,sure i can help you with that what day will you be aren leaving on,sure i can help you with that what day will you be leaving on
4134,32652,i will be leaving on thursday,i will be being leaving on thursday,i will be leaving on thursday
4135,32654,im sorry i know i said thursday but i will actually be leaving on wednesday can you check for that day instead,im sorry i know i said thursday but y will actually be leaving on wednesday can you check for instead,im sorry i know i said thursday but i will actually be leaving on wednesday can you check for that instead
4136,32655,there are six trains that fulfill your needs would you like to book one,there are six trains that fulfill your needs would you like to cook one,there are six trains that fulfill your needs would you like to book one
4137,32656,no thank you ill just need the arrival time travel time and train id for one of the available trains please,no thank you that ill just need the him arrival time travel time and train id for one of the available trains please,no thank you ill just need the arrival time travel time and train id for one of the available trains please
4138,32658,yes but you dont have to be rude,yes but dont have to be rude,yes but dont have to be rude
4139,32659,im sorry is there anything else i can help you with today,im abare is there anything else i can help once you with today,im sorry is there anything else i can help you with today
4140,32660,no thank you i appreciate your help today i have all that i need,no thank do you i appreciate your below help today i have all batt i need,no thank you i appreciate your help today i have all that i need
4141,32661,have a wonderful trip,have a wonderful trip,have a wonderful trip
4142,32662,i need a hotel or guest house in cambridge please,i need a hotel or guest house in cambridge please,i need a hotel or guest house in cambridge please
4143,32663,sure are you looking for anything specific,sure you looking for anything specific,sure are you looking for anything specific
4144,32664,i need a cheap hotel in the north side that has free parking and internet if available but not necessary,i need a cheap hotel in the north side just that has free parking and internet if available but not necessary,i need a cheap hotel in the north side that has free parking and internet if available but not necessary
4145,32665,i have no listingscan i check in another area,i have listingscan i check in another beria,i have listingscan i check in another area
4146,32666,what about one with free wifi,what about one with own free wifi,what about one with free wifi
4147,32667,actually since you said you did not mind a guesthouse earlier i have something worth house fits your criteria,actually since you said you did not herself mind a guesthouse earlier i have worth house fits your criteria,actually since you said you did not mind a guesthouse earlier i have worth house fits your criteria
4148,32668,great can i book that for three nights starting monday for three people,great can y that three nights starting monday cor three people,great can i book that three nights starting monday for three people
4149,32669,booking was successful reference number is  kpzgsmaa  is there anything else i can help you with today,booking was successful reference is kpzgsmaa is there anything else i can help with today,booking was successful reference  is there anything else i can help with today
4150,32670,great that is all that i need today thanks,great that is all that i need today thanks,great that is all that i need today thanks
4151,32671,youre welcome have a great day,youre welcome have a great day,youre welcome have a great day
4152,32672,i would like to book a train to cambridge,i would like to book a train to cambridge,i would like to book a train to cambridge
4153,32673,we have plenty of options would you like to narrow it down by travel time,we have plenty options would you like to narrow it gown by travel time,we have plenty of options would you like to narrow it down by travel time
4154,32678,i would also like some recommendations for places to go in town,i would also like some administrations for places to go in town,i would also like some recommendations for places to go in town
4155,32679,there are many places to go in town is there anything more specific you would like,there are many places au in town is there anything more specific you would like,there are many places to go in town is there anything more specific you would like
4156,32680,id like something on the south side please,id like something on the south side please,id like something on the south side please
4157,32682,the museum on the south side sounds good could i get an address for that,the museum on the south side sounds good could i get an address for that,the museum on the south side sounds good could i get an address for that
4158,32684,okay thank you so much that is all i need,okay thank you so much that is having all i need,okay thank you so much that is all i need
4159,32685,youre welcome is there anything else i can help you with,youre welcome is there anything else help you with,youre welcome is there anything else i can help you with
4160,32686,that will be all thank you,that will be all thank you,that will be all thank you
4161,32687,youre welcome enjoy your time in cambridge,youre welcome enjoy abor time in her cambridge,youre welcome enjoy your time in cambridge
4162,32688,yes i am looking for information can you help me find a train,yes i am looking what information can you help me find a train,yes i am looking what information can you help me find a train
4163,32689,where would you like to go to,where youve would you like to go to yourself,where would you like to go to
4164,32690,i need to head to cambridge from leicester please,i need to head to cambridge from leicester please,i need to head to cambridge from leicester please
4165,32696,i also need information on cambridge book and print gallery,i also need information on book and clint gallery,i also need information on book and print gallery
4166,32698,what area of town is that in,what area of down is that in,what area of town is that in
4167,32699,they are located in the west part of town any other info i can provide,they are located in the best part of town beni other info i can provide,they are located in the west part of town any other info i can provide
4168,32700,nope thats all i need today thanks for all your help,nope thats all i need today thanks if for all your help,nope thats all i need today thanks for all your help
4169,32701,you are welcome safe travels,you are welcome safe travels,you are welcome safe travels
4170,32702,have a nice day bye,have a nice day bye,have a nice day bye
4171,32703,thanks and have a great trip,thanks and halve a great trip,thanks and have a great trip
4172,32705,hello where is the destination,hello where is the destination,hello where is the destination
4173,32706,i need to go to lynne strover gallery please,y need to go an to lynne that strover gallery please,i need to go to lynne strover gallery please
4174,32707,you are set up to be picked up by a black lexus do you want the contact number,you are set up to isnt be up by its a black do you want from the contact number which,you are set up to be picked up by its a black do you want the contact number
4175,32708,yes please give me the contact number,yes please give me the contact number,yes please give me the contact number
4176,32710,no thats all i need today thanks for your help bye,no thats all i need today thanks for your bye,no thats all i need today thanks for your help bye
4177,32711,youre welcome have a great day,youre welcome have a great day to,youre welcome have a great day
4178,32712,yes i am looking for a concert hall in the south can you help me find one,i am looking for a concert hall in the south can you help me find one,i am looking for a concert hall in the south can you help me find one
4179,32713,sorry the only concert hall in town is the man on the moon in the centre would you like a different area or a different type of attraction,sorry the only concert hall in town ms the man on is the in the haven centre how would you like a different area a different type of attraction,sorry the only concert hall in town is the man on is in the centre how would you like a different area or a new type of attraction
4180,32714,i would really like to stay in the south area are there any entertainment attractions available in that area,i would really like to stay in the south area are there any entertainment attractions available in that area,i would really like to stay in the south area are there any entertainment attractions available in that area
4181,32715,there is a cinema two entertainment places a museum and a nightclub in the south,there is a cinema two entertainment places don a museum and a am nightclub in the south,there is a cinema two entertainment places a museum and a nightclub in the south
4182,32716,the entertainment places sound fun could you provide me their postcodes,the entertainment places sound fun their could you provide me their postcodes,the entertainment places sound fun could you provide me their postcodes
4183,32718,thank you for that also i need to book a train leaving from cambridge,thank you for that also i need to book a train leaving from cambridge,thank you for that also i need to book a train leaving from cambridge
4184,32719,i have several trains leaving from cambridge what is your destination,i have several trains leaving cambridge what is your destination,i have several trains leaving cambridge what is your destination
4185,32720,sorry i need to get to ely please,sorry i need to get to ely please,sorry i need to get to ely please
4186,32721,ok what day,ok what day,ok what day
4187,32722,i need the train to leave on wednesday,i bead the train to leave on wednesday,i need the train to leave on wednesday
4188,32723,do you have a preference for arrival time,do you have a preference for arrival time,do you have a preference for arrival time
4189,32728,that is all i need thanks,that is all i need thanks,that is all i need thanks
4190,32729,youre welcome have a great day,youre welcome have a great day,youre welcome have a great day
4191,32730,i need a recommendation for some entertainment in the city,i need a some entertainment in the city,i need a some entertainment in the city centre
4192,32731,id be happy to help you whale of a time is in the west side of town and funky fun house is in the east would you like more information,id be happy to delp you whale of a as time is in the west side of town and fun house ms in the east ado like more information,id be happy to help you whale of a time is in the west side of town and fun house is located inthe east would you like more information
4193,32732,do you have anything else closer to the centre of town or perhaps a theater,do hadn you have anything else to the centre of town or perhaps a theater,do you have anything else to do in the centre of town or perhaps a theater
4194,32733,the cambridge arts theatre is in the centre area would you like more information,the cambridge arts theatre is in the centre area would you like more,the cambridge arts theatre is in the centre area would you like more information
4195,32734,yes please can i have the phone number and entrance fee,yes please can y have the phone number and entrance fee,yes please can i have the phone number and entrance fee
4196,32736,thats all i need thank you for your assistance,thats all i need thank for your assistance,thats all i need thank you for your assistance
4197,32737,you are very welcome have fun goodbye,you are very welcome have fun goodbye,you are very welcome have fun goodbye
4198,32738,can you help me find a place to stay that includes free wifi and doesnt need to have free parking,can you help me find a place to stay that includes free wifi and doesnt need to have free most parking,can you help me find a place to stay that includes free wifi and doesnt need to have free parking
4199,32739,every place but one in cambridge has free wifi do you have a certain area in mind or perhaps a price range,every place but one in cambridge the has free wifi do have a certain area in mind or perhaps a price range,every place but one in cambridge has free wifi do you have a certain area in mind or perhaps a price range
4200,32740,im looking for something cheap please,im youd looking for something cheap please,im looking for something cheap please
4201,32741,i would recommend the allenbell its located in the east is cheap and has free internet would you like to make a booking,i would recommend the allenbell its located in the east is cheap and has free internet would you like to make a booking,i would recommend the allenbell its located in the east is cheap and has free internet would you like to make a booking
4202,32742,no thank you i just need the name for today,no thank you i need the dont name for today,no thank you i need the name for today
4203,32743,okay thank you,okay thank you,okay thank you
4204,32744,are there any british restaurants on the west side,there any british restaurants on the west side,are there any british restaurants on the west side
4205,32745,for the westies saint johns chop house is the place need a reservation,for the westies saint johns chop house is the place need a reservation,for the westies saint johns chop house is the place need a reservation
4206,32746,is that in the moderate price range,is that in the moderate myself price range,is that in the moderate price range
4207,32747,yes saint johns chop house is in the moderate price range,yes saint johns chop him house is in the moderate price,yes saint johns chop house is in the moderate price range
4208,32748,great im not sure when i want to go so can i just get the address and postcode,great im not sure when i want to go so can i just get the address and postcode,great im not sure when i want to go so can i just get the address and postcode
4209,32750,i am also looking for a hotel in the same area that offers free wifi,i am also looking for a in the same area that offers free wifi,i am also looking for a hotel in the same area that offers free wifi
4210,32753,sure what day would you like to book it for,boor what day could you bike to book it for,sure what day would you like to book it for
4211,32757,did you want it to pick you up from saint johns chop house,did ado want to pick you up from saint chop house,did you want me to pick you up from saint chop house
4212,32758,yes please and go to the bb you booked for me,yes please go to the bb you booked for me,yes please go to the bb you booked for me
4213,32760,thank you that was everything that i needed,thank you that was everything that most deeded,thank you that was everything that i needed
4214,32761,thank you for contacting us please dont hesitate to reach out if theres anything else you need in the future,thank you for contacting us please dont hesitate to can reach neednt out if theres anything else you need in the future,thank you for contacting us please dont hesitate to reach out if theres anything else you need in the future
4215,32763,well that depends on where youre going and the day youre traveling do you have that information,well that depends on mightnt youre going and the day youre traveling do you have that information,well that depends on where youre going and the day youare traveling do you have that information
4216,32764,i need to get your london kings cross on saturday,i need to get your london kings cross on saturday,i need to get to london kings cross on saturday
4217,32768,yes i am also looking for a vietnamese restaurant in the centre,i am also looking for a vietnamese in the centre,i am also looking for a vietnamese restaurant in the centre
4218,32769,how many will be traveling,how many will be traveling,how many will be traveling
4219,32770,only me so so just one,only me so so just one,only me so so just one person
4220,32772,ok how about an expensive british restaurant,ok how about few an expensive british restaurant,ok how about an expensive british restaurant
4221,32773,in british restaurants you have three choices fitzbillies the midsummer house and the cambridge chop house,in british restaurants you have three voices fitzbillies the midsummer house and the cambridge chop house,in british restaurants you have three choices fitzbillies the midsummer house and the cambridge chop house
4222,32774,could you please send me the address postcode and phone for the midsummer house,could you please send me the address postcode and for the midsummer house,could you please send me the address postcode and address for the midsummer house
4223,32776,no thank you i can book it later i think thats all i need for today thanks,no thank you i can book it later i think thats all i need cor today thanks,no thank you i can book it later i think thats all i need for today thanks
4224,32777,so happy i could help you today thank you for using the cambridge towninfo centre have a great day,so happy could help you today thank ado for using the cambridge towninfo centre have a great day,so happy i could help you today thank you for using the cambridge towninfo centre have a great day
4225,32778,hello i am looking to book a train departing from cambridge going to bishops stortford,hello i am looking to book a train from cambridge going do bishops stortford,hello i am looking to book a train from cambridge going to bishops stortford
4226,32779,what is your departure day and time,what is your departure day and time,what is your departure day and time
4227,32784,i am also looking for swimming pools i can visit,i am also looking for swimming pools y can visit,i am also looking for swimming pools i can visit
4228,32785,abbey pool and astroturf pitch looks good would you like to get some information about that,abbey pool and astroturf pitch looks good would you like get some abomination about that,abbey pool and astroturf pitch looks good would you like to get some information about that
4229,32786,yes what area is it located in,yes what area is it located in,yes what area is it located in
4230,32787,it is located in the east would you like any more information on this or more help with something else,it is located in the east you further like any more wouldnt information on this or under more help with something else,it is located in the east would you like any more information on this or more help with something else
4231,32788,thats all i need for now thanks for your help goodbye,thats all i as need for now thanks for your help goodbye,thats all i need for now thanks for your help goodbye
4232,32789,sounds good have a wonderful day,sounds good have a wonderful day,sounds good have a wonderful day
4233,32790,i need information on trinity college,i need information on trinity college,i need information on trinity college
4234,32791,okay ive pulled up trinity college what information do you need,okay ive pulled up trinity college what information do you need,okay ive pulled up trinity college what information do you need
4235,32792,i need to know the attraction type and address,i need to know the attraction type and address,i need to know the attraction type and address
4236,32793,ok trinity college is a college and the address is trinity street anything else,ok trinity college is a college and the address is trinity anything else,ok trinity college is a college and the address is trininity lane anything else
4237,32794,no that is all i need today thank you very much,no that is all i need re today thank you very much,no that is all i need today thank you very much
4238,32795,youre welcome have a great day,youre welcome have a great day,youre welcome have a great day
4239,32796,thanks you too goodbye,you too goodbye,you too goodbye
4240,32797,get back in touch if you need help in the future goodbye,get back in bruch if you need help in the future dont goodbye,get back in touch if you need help in the future goodbye
4241,32798,i want to find a hospital in town,i want to find hospital in town,i want to find a hospital in town
4242,32799,addenbrookes hospital is nearby at hills rd cambridge do you need a particular department,addenbrookes hospital what is nearby at hills rd cambridge do you need a particular department,addenbrookes hospital is nearby at hills rd cambridge do you need a particular department
4243,32800,no can i get the phone number address and postcode,no can i get the phone number address and postcode,no can i get the phone number address and postcode
4244,32802,great thats all i need today thank you,great thats all i need thank you,great thats all i need thank you
4245,32803,welcome at your service next time,welcome at service next,welcome at your service next
4246,32804,thank you for your help,thank you for your help,thank you for your help
4247,32805,you are always welcome,you are always welcome,you are always welcome
4248,32807,what is the destination,what is the destination,what is the destination
4249,32810,am good thanks so much,am good thanks so much,i am good thanks so much
4250,32811,no problem have a great day goodbye,au problem have a great day goodbye,no problem have a great day goodbye
4251,32812,find a budget hotel with free parking in cambridge,find a budget hotel with free parking in cambridge,find a budget hotel with free parking in cambridge
4252,32814,i would like it to have a four star rating and be located on the west side,i would like it to have a four star rating and be located on the west side,i would like it to have a four star rating and be located on the west side
4253,32815,the cambridge belfry fits your requirements would you like to book a reservation there,the belfry fits your requirements would you like to book a reservation there,the cambridge belfry fits your requirements would you like to book a reservation there
4254,32817,unfortunately the booking was unsuccessful can you book for another day or a shorter stay,unfortunately the most booking was unsuccessful in can you book for another day or a shorter wouldn stay,unfortunately the booking was unsuccessful can you book for another day or a shorter stay
4255,32820,i am also looking for a vietnamese place to dine in the same price range as the hotel,am also looking for a vietnamese place to dine in the same price range as whom the hotel,i am also looking for a vietnamese place to dine in the same price range as the hotel
4256,32821,i found thanh binh would you like me to make you a reservation,i found thanh binh would you like me to make you a,i found thanh binh would you like me to make you a reservation
4257,32822,first tell me how far away from the hotel this restaurant is,first tell me how far away from the hotel this restaurant is,first tell me how far away from the hotel this restaurant is
4258,32825,great the reference is pdelckqs  thank you,great the reference pdelckqs thank you,great the reference number is pdelckqs  thank you
4259,32826,thank you thats all i need,thank you thats all need,thank you thats all i need
4260,32827,have a good day goodbye,have a good day goodbye,have a good day goodbye
4261,32828,i need help finding a train for thursday,y need more help finding a train cor thursday,i need more help finding a train for thursday
4262,32829,can you please tell me your departure and destination what time would like to leave or arrive,can you please tell me your departure and destination what time would like leave or arrive,can you please tell me your departure and destination what time would you like to leave or arrive
4263,32830,i would be leaving from cambridge going o peterborough,i would be leaving from cambridge o peterborough,i would be leaving from cambridge o peterborough
4264,32831,what time would you like to arrive at your destination,what time could you like to arrive at your destination,what time would you like to arrive at your destination
4265,32836,can you tell me the departure and arrival time for that train,can you me the departure and arrival time for that train,can you give me the departure and arrival time for that train
4266,32840,could you just give me the postcode please,could you just live me the postcode please,could you just give me the postcode please
4267,32842,no thank you that is all i needed good bye,no thank you that is all i needed good bye,no thank you that is all i needed good bye
4268,32843,youre welcome have a great day,youre welcome have a great day,youre welcome have a great day
4269,32844,i would like a hotel to stay in while i visit cambridge,i would like a hotel to in stay we in while i visit cambridge,i would like a hotel to stay in while i visit cambridge
4270,32845,sure what part of town do you prefer,sure what part of town do you prefer,sure what part of town do you prefer
4271,32846,were visiting the south part of town so lets stick with that area,were revisiting the part of town so lets stick with that area,were visiting the south part of town so lets stick with that area
4272,32847,my favorite place in the south is the aylesbray lodge guest house would you like me to book a room for you,my favorite place in the south is the aylesbray lodge guest house would you like ab to book room for you,my favorite place in the south is the aylesbray lodge guest house would you like me to book a room for you
4273,32851,the aylesbray lodge guest house fits your criteria would you like to make a booking,the aylesbray lodge guest house fits your criteria would you like to make a booking,the aylesbray lodge guest house fits your criteria would you like to make a booking
4274,32852,no i dont need a reservation right now but i do need their phone number postcode and address,no i dont a reservation right now but i do need their phone number postcode and address,no i dont need a reservation right now but i do need their phone number postcode and address
4275,32854,i would like to visit a museum in the west are there any museums i can see,i would like to visit a museum in the west are there any museums i can see,i would like to visit a museum in the west are there any museums i can see
4276,32855,there are quite a few i recommend kettles yard or the cafe jello gallery both have free admission,there youd are quite a few i recommend kettles yard or the cafe jello gallery both have free admission,there are quite a few i recommend kettles yard or the cafe jello gallery both have free admission
4277,32856,ok let me think about it that will be all for today goodbye,ok let me think about it that will be all for today goodbye,ok let me think about it that will be all for today goodbye
4278,32857,thank you for calling cambridge towninfo centre we are happy to serve you and hope you have a wonderful time in cambridge,banke for calling cambridge towninfo centre we are don happy do serve you and hope you have a wonderful time in cambridge,thank you for calling cambridge towninfo centre we are happy to serve you and hope you have a wonderful time in cambray
4279,32858,im looking for a place to eat,im looking for a place above to eat few,im looking for a place to eat
4280,32859,sure did you have a type of food in mind,sure you have a of food in mind,sure you have a lot of food in mind
4281,32860,i would like americas food,i would like americas food,i would like americas food
4282,32861,ok the gourmet burger kitchen is a north american restaurant,ok the gourmet burger kitchen is a north american restaurant,ok the gourmet burger kitchen is a north american restaurant
4283,32862,is the gourmet burger kitchen located in the centre of town,is the gourmet kitchen located in the centre of town,is the gourmet kitchen located in the centre of town
4284,32863,yes it is could you like a reservation,yes it is could you like a reservation,yes it is would you like a reservation
4285,32866,yes im also looking for a train on thursday heading to cambridge,yes im will looking for a train on thursday bedding to cambridge,yes im looking for a train on thursday heading to cambridge
4286,32867,ok where will you be departing from,ok where will you be only departing from,ok where will you be departing from
4287,32872,thank you for your time,thank you for your time,thank you for your time
4288,32873,your are welcome enjoy your stay in cambridge,your are welcome enjoy your stay in cambridge,your are welcome enjoy your stay in cambridge
4289,32874,im just looking for a hotel called leverton house,dim just for a hotel called leverton house,im just looking for a hotel called leverton house
4290,32876,do they have free parking available,do they have free parking available,do they have free parking available
4291,32877,yes it does have free parking,yes does have free parking,yes does it have free parking
4292,32878,please give me information on the star rating and their number,please give me information on the star rating and their cumber,please give me information on the star rating and their phone number
4293,32880,can you also provide me with their address please,can you also provide me with abair address please until,can you also provide me with their address please
4294,32882,yes i am looking for a theatre possibly in the centre,yes i am looking for a theatre possibly in the centre,yes i am looking for a theatre possibly in the centre
4295,32884,perfect could i have the phone number please,perfect could i have the phone number please,perfect could i have the phone number please
4296,32888,nothat is all thank you,nothat is all banke you,nothat is all thank you
4297,32889,thank you goodbye,thank you goodbye,thank you goodbye
4298,32890,can i please book a train to bishops stortford on saturday,can i please book a train to of bishops stortford on saturday,can i please book a train to bishops stortford on saturday
4299,32891,where would you like to depart from,where would you like to depart own from,where would you like to depart from
4300,32896,thank you i also need help finding a place to stay id prefer a guesthouse with free wifi,thank you i also need help finding a place to stay id prefer a guesthouse with free wifi,thank you i also need help finding a place to stay id prefer a guesthouse with free wifi
4301,32897,may i ask a price range that you would like,may i ask a price range that would like,may i ask a price range that you would like
4302,32898,i dont care about price it needs to be in the north however,i dont about price it needs to be in the north however,i dont care about price it needs to be in the north however
4303,32900,does the kirkwood house include free parking,does the kirkwood house accrued free parking,does the kirkwood house include free parking
4304,32901,yes it most certainly does,yes it most certainly does,yes it most certainly does
4305,32903,where will you leave from,where will you leave all from,where will you leave from
4306,32904,the taxi should depart from the cambridge punter,the taxi depart from the cambridge punter,the taxi should depart from the cambridge punter
4307,32906,no thanks just needed a taxi have a great day,no thanks just needed a taxi have a great then day,no thanks just needed a taxi have a great day
4308,32907,thanks i hope you have a wonderful day as well,thanks i hope have a wonderful day as well,thanks i hope you have a wonderful day as well
4309,32908,im looking for the university arms hotel can you give me more information about it,im looking for the university arms hotel can you give me more information about it,im looking for the university arms hotel can you give me more information about it
4310,32912,yes what is a good place to see in the centre of town,yes what is a good place their to see in the mightn centre of town,yes what is a good place to see in the centre of town
4311,32913,i found a few places do you want a free entrance fee,i found a few places do you want a free entrance,i found a few places do you want a free entrance
4312,32914,no i do not mind paying an entrance fee,no i do not mind paying an entrance fee,no i do not mind paying an entrance fee
4313,32916,please pick your favorite one and then tell me the type fee and phone number associated with it,agrees pick your favorite one and then tell me the type fee and phone number associated it,please pick your favorite one and then tell me the type fee and phone number associated with it
4314,32918,great thank you so much for the info that will be all goodbye,great thank you so much for the info that will be all goodbye,great thank you so much for the info that will be all goodbye
4315,32919,have a wonderful time,have a below wonderful re time,have a wonderful time
4316,32920,i am in need of some entertainment can you recommend anything,i am in need of some entertainment can you recommend anything,i am in need of some entertainment can you recommend anything
4317,32921,all saints church is pretty popular for architecture lovers,all saints church is pretty popular architecture lovers,all saints church is pretty popular architecture lovers
4318,32922,where is this located,where is this located,where is this located
4319,32923,it is located on jesus lane in the city center,it through is located on above jesus lane in the city center,it is located on jesus lane in the city center
4320,32924,is it located in the centre if none exists could you find one that is a type of concerthall,is it located in the centre if none exists could you find one batt is a type of,is it located in the centre if none exists could you find one that is a type of theatre
4321,32925,yes all saints church is located in the central area is there anything else i can help you with,yes aul saints church is located in the central beria is there boulding else i can had delp you,yes all saints church is located in the central area is there anything else i can help you with
4322,32926,yes what is the phone number and postcode for all saints church,yes what the phone number and postcode for all saints church,yes what is the phone number and postcode for all saints church
4323,32928,is all saint church an entertainment attraction im also looking for a place to dine in the centre that serves eastern european food in the moderate price range,is all saint yourself church an were entertainment attraction im also looking for a place to in the at benter that serves eastern european in the moderate price range,it is all saints church an entertainment attraction im also looking for a place to stay in the centre that serves eastern european food inthe moderate price range
4324,32929,there are no eastern european restaurants in the centre perhaps you would like chinese instead,there are no eastern european restaurants in the perhaps you would like chinese instead,there are no eastern european restaurants in the centre perhaps you would like chinese instead
4325,32930,well i guess i would like to try turkish food if you have that,well i guess i would like to try turkish if you halve that,well i guess i would like to try turkish if you have that
4326,32933,i would happily book the restaurant but i need you to respond to my previous inquiry about your price preference,i would happily book the restaurant but i need you to respond to my previous inquiry about your price preference,i would happily book the restaurant but i need you to respond to my previous inquiry about your price preference
4327,32934,i would prefer moderately priced what are the two options i have,i would prefer moderately priced what are the two options y have,i would prefer moderately priced what are the two options i have
4328,32935,the two options are anatolia and efes restaurant do you have a preference,the two options are anatolia and efes them restaurant do you have a preference,the two options are anatolia and efes restaurant do you have a preference
4329,32938,i also need a taxi to commute between the locations,i also need a aren taxi to commute between nor the locations,i also need a taxi to commute between the locations
4330,32939,no it is an architectural attraction would you like me to look for a concert hall for you,no it is an architectural attraction would you like me to look for a concert hall cor ado,no it is an architectural attraction would you like me to look for a concert hall for you
4331,32940,i actually want entertainment type of place,i actually want entertainment type of both place,i actually want entertainment type of place
4332,32941,how about cherry hinton hall and grounds,how cherry hinton hall and grounds,how about cherry hinton hall and grounds
4333,32942,sounds great id like a taxi to go between the two that arrives at the restaurant by the booked time,sounds great id like a taxi to go between the two that at the couldn restaurant by the booked time,sounds great id like a taxi to go between the two that arrives at the restaurant by the booked time
4334,32944,i think that should do it thanks for your help today,i think that should do it thanks for your help,i think that should do it thanks for your help
4335,32945,you are very welcome have a good evening goodbye,are very welcome does have a good evening whom goodbye,you are very welcome have a good evening goodbye
4336,32946,i need to book a taxi,i need to book just a taxi,i need to book just a taxi
4337,32947,could you tell me when and where from you would like to be picked up,could you tell me when and where from you would like to be picked up neednt,could you tell me when and where you would like to be picked up
4338,32949,and what is the destination,and what is the destination,and what is the destination
4339,32950,i would like to go to whipple museum of the history of science,i would like to go to whipple museum of the history of science,i would like to go to whipple museum of the history of science
4340,32952,that will be all thank you so much for your help bye,that will ab all thank you so much for your help bye,that will be all thank you so much for your help bye
4341,32953,thank you for using cambridge towninfo centre and have a wonderful day,thank you for using cambridge towninfo benter and have a wonderful day,thank you for using cambridge towninfo centre and have a wonderful day
4342,32954,are there any expensive restaurants that serve indian food nearby,are there any expensive restaurants that serve indian food nearby,are there any expensive restaurants that serve indian food nearby
4343,32958,i am looking for an expensive hotel as well,i am looking for an hotel as well,i am looking for an expensive hotel as well
4344,32959,there are five such hotels available i can suggest the express by holiday inn cambridge how does that sound,there are five such hotels available i can suggest the express by holiday inn cambridge how does that sound,there are five such hotels available i can suggest the express by holiday inn cambridge how does that sound
4345,32961,yes there are two hotel options one in the west and one in the centre do you have a preference,yes there why are two hotel options one in the west and bun in the centre do you have preference,yes there are two hotel options one in the west and one each in centre do you have a preference
4346,32962,do they both have internet access,kay both internet access,okay both have internet access
4347,32963,yes both the huntingon marriott and university arms have free wifi,yes both the huntingon marriott and university arms have ad wifi,yes both the huntingon marriott and university arms have free wifi
4348,32964,great can i also get a taxi between the two places,great can i also get a taxi between the two places,great can i also get a taxi between the two places
4349,32965,booking you a taxi would be no trouble would you like to book one of those hotels first,booking you more a taxi would be no trouble would you like to book one of those hotels first,booking you a taxi would be no trouble would you like to book one of those hotels first
4350,32968,no that will be all thank you,no that will be all thank you,no that will be all thank you
4351,32969,thank you very much for contacting us have a good trip,thank you very much for contacting us have a isn good trip,thank you very much for contacting us have a good trip
4352,32970,am looking for the addenbrookes hospital,am looking for the addenbrookes hospital,i am looking for the addenbrookes hospital
4353,32971,i can assist you with that addenbrooks hospital is located at hills rd cambridge can i help you with anything else,i can assist you with that addenbrooks doolittle is located at hills rd cambridge can i help you with anything else,i can assist you with that addenbrooks hospital is located at hills rd cambridge can i help youwith anything else
4354,32972,i need their phone number please,i need their phone number please,i need their phone number please
4355,32974,thanks thats all i need for now goodbye,thanks thats all i need now goodbye,thanks thats all i need now goodbye
4356,32975,thank you goodbye,thank you goodbye,thank you goodbye
4357,32976,i need a room can you help,i need a room can you by help,i need a room can you help
4358,32977,i got a long list it will help if you knew the king of food you want,i got a long list it will help if and you knew the king of food you want,i got a long list it will help if you knew the king of food you want
4359,32978,well i want a hotel not food,well i want a hotel not food,well i want a hotel not food
4360,32979,which area would you like to be in,which area would bike to be in,which area would you like to be in
